"Link Name","URL"
"Extreme Pizza","https://www.google.com/maps/place/Extreme+Pizza/@38.8689769,-77.0728907,5313m/data=!3m1!1e3!4m10!1m2!2m1!1spizza!3m6!1s0x89b7b72778ab8871:0x3762c646ac6ddfe1!8m2!3d38.8602396!4d-77.0559854!15sCgVwaXp6YVoHIgVwaXp6YZIBEHBpenphX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTk9lVXBFVTIxUlJSQULgAQA!16s%2Fg%2F12llsn19l?entry=ttu"
"We, The Pizza","https://www.google.com/maps/place/We,+The+Pizza/@38.8689769,-77.0728907,5313m/data=!3m1!1e3!4m10!1m2!2m1!1spizza!3m6!1s0x89b7b72f38e95a4b:0xc933eda7e98cbcb0!8m2!3d38.8551791!4d-77.049733!15sCgVwaXp6YVoHIgVwaXp6YZIBEHBpenphX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlNhMlJYY25oM1JSQULgAQA!16s%2Fg%2F1q62g66vf?entry=ttu"
"Paisano's Pizza","https://www.google.com/maps/place/Paisano's+Pizza/@38.8630417,-77.1249662,5313m/data=!3m1!1e3!4m10!1m2!2m1!1spizza!3m6!1s0x89b7b68df6dead11:0xbb0b0369cea4f944!8m2!3d38.8808963!4d-77.0855047!15sCgVwaXp6YVoHIgVwaXp6YZIBEml0YWxpYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOVU9GOVRkSGhuUlJBQuABAA!16s%2Fg%2F1q628pvyv?entry=ttu"
"Domino's Pizza on Columbia Pike","https://www.google.com/maps/place/Domino's+Pizza/@38.8592322,-77.1261679,20750m/data=!3m1!1e3!4m10!1m2!2m1!1sdominoes!3m6!1s0x89b7b6ba2b02a023:0x15622e1516edc315!8m2!3d38.8627267!4d-77.0853943!15sCgdkb21pbm9zIgOIAQFaCSIHZG9taW5vc5IBFnBpenphX2RlbGl2ZXJ5X3NlcnZpY2XgAQA!16s%2Fg%2F1wbryp46?entry=ttu"
"Domino's Pizza on N Quincy St","https://www.google.com/maps/place/Domino's+Pizza/@38.8779211,-77.178108,20744m/data=!3m1!1e3!4m10!1m2!2m1!1sdominoes!3m6!1s0x89b7b65e8fa6e8a1:0xe7c52803e21e0948!8m2!3d38.8779211!4d-77.1080702!15sCgdkb21pbm9zIgOIAQFaCSIHZG9taW5vc5IBFnBpenphX2RlbGl2ZXJ5X3NlcnZpY2XgAQA!16s%2Fg%2F1tcwxm3d?entry=ttu"
"Domino's Pizza on N Henry St","https://www.google.com/maps/place/Domino's+Pizza/@38.8233994,-77.1265112,20760m/data=!3m1!1e3!4m10!1m2!2m1!1sdominoes!3m6!1s0x89b7b0fbfe4c0815:0xd587d27b4e81e2bf!8m2!3d38.8103528!4d-77.0505556!15sCgdkb21pbm9zIgOIAQFaCSIHZG9taW5vc5IBFnBpenphX2RlbGl2ZXJ5X3NlcnZpY2XgAQA!16s%2Fg%2F12lkvkm4f?entry=ttu"
