"Link Name","URL"
"TA Travel Center","https://www.google.com/maps/place/TA+Travel+Center/@40.6594153,-75.1099634,10107m/data=!3m1!1e3!4m6!3m5!1s0x89c47370f801ab75:0x5e34acc804bf7418!8m2!3d40.6594161!4d-75.0749432!16s%2Fg%2F1tf76g93?entry=ttu"
"Whole Foods Market","https://www.google.com/maps/place/Whole+Foods+Market/@39.871289,-75.5540373,10225m/data=!3m1!1e3!4m6!3m5!1s0x89c6fac738f7db0d:0xc8957366e1d417a6!8m2!3d39.863379!4d-75.5428154!16s%2Fg%2F1hc1ydkk3?entry=ttu"
"H Mart Upper Darby","https://www.google.com/maps/place/H+Mart+Upper+Darby/@39.9342355,-75.3085615,20432m/data=!3m1!1e3!4m6!3m5!1s0x89c6c13b2449663f:0x42b358873e494021!8m2!3d39.961268!4d-75.262957!16s%2Fg%2F1tj92hpm?entry=ttu"
"Pilot Travel Center","https://www.google.com/maps/place/Pilot+Travel+Center/@34.7093175,-82.5022745,1369m/data=!3m1!1e3!4m6!3m5!1s0x88583ec83a7fcdf3:0xe1c8867d01df0a9!8m2!3d34.7106851!4d-82.4975897!16s%2Fg%2F1tv3pd96?entry=ttu"
